,Country,Region,City,Longitude,Latitude,attacktype,nkill,nwound,Date,ntotal
370,Iraq,Middle East & North Africa,Musayib,44.29,32.778611,Bombing/Explosion,54.0,82.0,7-16-2005,136.0
371,Egypt,Middle East & North Africa,Sharm el-Sheikh,34.329886,27.915557,Bombing/Explosion,91.0,110.0,7-23-2005,201.0
372,Iraq,Middle East & North Africa,Baghdad,44.39699,33.335265,Bombing/Explosion,23.0,30.0,7-24-2005,53.0
373,Iraq,Middle East & North Africa,Rabiaa,42.092125,36.806416999999996,Bombing/Explosion,44.0,57.0,7-29-2005,101.0
374,Iraq,Middle East & North Africa,Baghdad,44.34494,33.381146,Bombing/Explosion,160.0,542.0,9-14-2005,702.0
375,Iraq,Middle East & North Africa,Nahrwan,44.70296,33.376952,Bombing/Explosion,30.0,38.0,9-17-2005,68.0
376,Iraq,Middle East & North Africa,Balad,44.145278000000005,34.016389000000004,Bombing/Explosion,65.0,70.0,9-29-2005,135.0
377,Indonesia,Southeast Asia,Jimbaran,115.159278,-8.790422,Bombing/Explosion,12.5,50.0,10-1-2005,62.5
378,Indonesia,Southeast Asia,Kuta,115.17228999999999,-8.722791,Bombing/Explosion,12.5,50.0,10-1-2005,62.5
379,Iraq,Middle East & North Africa,Hillah,44.433269,32.483494,Bombing/Explosion,25.0,87.0,10-5-2005,112.0
380,Iraq,Middle East & North Africa,Tal Afar,42.451435,36.374029,Bombing/Explosion,25.0,36.0,10-11-2005,61.0
381,Iraq,Middle East & North Africa,Basra,47.816666999999995,30.5,Bombing/Explosion,20.0,50.0,10-31-2005,70.0
382,Iraq,Middle East & North Africa,Musayib,44.29,32.778611,Bombing/Explosion,21.0,60.0,11-2-2005,81.0
383,Jordan,Middle East & North Africa,Amman,35.933331,31.950001,Bombing/Explosion,20.0,33.33,11-9-2005,53.33
384,Jordan,Middle East & North Africa,Amman,35.933331,31.950001,Bombing/Explosion,20.0,33.33,11-9-2005,53.33
385,Jordan,Middle East & North Africa,Amman,35.933331,31.950001,Bombing/Explosion,21.0,33.34,11-9-2005,54.34
386,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,35.0,25.0,11-10-2005,60.0
387,Iraq,Middle East & North Africa,Baghdad,44.400616,33.2862,Bombing/Explosion,8.0,43.0,11-18-2005,51.0
388,Iraq,Middle East & North Africa,Khanaqin,45.383492,34.333206,Bombing/Explosion,77.0,90.0,11-18-2005,167.0
389,Iraq,Middle East & North Africa,Abu Saydah,44.773299,33.927271000000005,Bombing/Explosion,37.0,50.0,11-19-2005,87.0
390,Iraq,Middle East & North Africa,Mahmudiyah,44.362041,33.053656,Bombing/Explosion,32.0,27.0,11-24-2005,59.0
391,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,36.0,72.0,12-6-2005,108.0
392,Iraq,Middle East & North Africa,Muqdadiyah,44.92668,33.971348,Bombing/Explosion,32.0,40.0,1-4-2006,72.0
393,Iraq,Middle East & North Africa,Karbala,44.024968,32.614481,Bombing/Explosion,40.0,50.0,1-5-2006,90.0
394,Iraq,Middle East & North Africa,Ramadi,43.311566,33.431899,Bombing/Explosion,30.0,40.0,1-5-2006,70.0
395,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,8.0,50.0,2-1-2006,58.0
396,Iraq,Middle East & North Africa,Baghdad,44.513996999999996,33.318595,Bombing/Explosion,9.0,57.0,2-2-2006,66.0
397,Pakistan,South Asia,Hangu,71.057467,33.533541,Bombing/Explosion,31.0,50.0,2-9-2006,81.0
398,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,11.0,40.0,2-13-2006,51.0
399,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,16.0,45.0,2-26-2006,61.0
400,Iraq,Middle East & North Africa,Baghdad,44.318923999999996,33.354513,Bombing/Explosion,23.0,55.0,2-28-2006,78.0
401,Iraq,Middle East & North Africa,Baghdad,44.481875,33.32855,Bombing/Explosion,23.0,51.0,2-28-2006,74.0
402,Iraq,Middle East & North Africa,Baghdad,44.488946999999996,33.305081,Bombing/Explosion,23.0,58.0,3-1-2006,81.0
403,Pakistan,South Asia,Karachi,67.028061,24.893379,Bombing/Explosion,5.0,50.0,3-2-2006,55.0
404,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,62.0,250.0,3-12-2006,312.0
405,Pakistan,South Asia,Karachi,67.028061,24.893379,Bombing/Explosion,57.0,125.0,4-11-2006,182.0
406,Iraq,Middle East & North Africa,Huwaider,44.621666999999995,33.771944,Bombing/Explosion,32.0,70.0,4-12-2006,102.0
407,Egypt,Middle East & North Africa,Dahab,34.513634,28.509135999999998,Bombing/Explosion,18.0,87.0,4-24-2006,105.0
408,Iraq,Middle East & North Africa,Baghdad,44.460652,33.389934000000004,Bombing/Explosion,10.0,50.0,5-4-2006,60.0
409,Iraq,Middle East & North Africa,Tal Afar,42.45,36.383333,Bombing/Explosion,18.0,35.0,5-9-2006,53.0
410,Iraq,Middle East & North Africa,Baghdad,44.432321,33.411752,Bombing/Explosion,23.0,38.0,5-16-2006,61.0
