,month,killed,wounded
298,2004-07-01 00:00:00,271,538
265,2004-08-01 00:00:00,262,539
69,2004-09-01 00:00:00,639,1521
262,2004-10-01 00:00:00,495,934
286,2004-11-01 00:00:00,175,407
108,2004-12-01 00:00:00,345,831
343,2005-01-01 00:00:00,391,621
466,2005-02-01 00:00:00,295,687
9,2005-03-01 00:00:00,309,509
490,2005-04-01 00:00:00,247,541
316,2005-05-01 00:00:00,888,2539
186,2005-06-01 00:00:00,387,1039
299,2005-07-01 00:00:00,910,2403
264,2005-08-01 00:00:00,385,834
70,2005-09-01 00:00:00,562,1223
233,2005-10-01 00:00:00,428,980
287,2005-11-01 00:00:00,438,920
107,2005-12-01 00:00:00,196,471
213,2006-01-01 00:00:00,480,537
465,2006-02-01 00:00:00,783,1425
10,2006-03-01 00:00:00,430,955
415,2006-04-01 00:00:00,714,1180
313,2006-05-01 00:00:00,486,814
185,2006-06-01 00:00:00,447,672
300,2006-07-01 00:00:00,851,2341
268,2006-08-01 00:00:00,756,1886
67,2006-09-01 00:00:00,454,931
449,2006-10-01 00:00:00,833,1496
284,2006-11-01 00:00:00,996,1549
106,2006-12-01 00:00:00,887,1703
214,2007-01-01 00:00:00,605,1237
464,2007-02-01 00:00:00,929,2276
11,2007-03-01 00:00:00,1428,2742
302,2007-04-01 00:00:00,1258,2274
314,2007-05-01 00:00:00,585,1270
184,2007-06-01 00:00:00,1158,2025
301,2007-07-01 00:00:00,1161,2437
266,2007-08-01 00:00:00,907,1859
51,2007-09-01 00:00:00,532,978
448,2007-10-01 00:00:00,820,1855
285,2007-11-01 00:00:00,920,1595
105,2007-12-01 00:00:00,635,1137
322,2008-01-01 00:00:00,609,1362
463,2008-02-01 00:00:00,866,2274
140,2008-03-01 00:00:00,593,1525
484,2008-04-01 00:00:00,696,1795
323,2008-05-01 00:00:00,898,1543
41,2008-06-01 00:00:00,704,1379
292,2008-07-01 00:00:00,728,2013
281,2008-08-01 00:00:00,811,1521
71,2008-09-01 00:00:00,416,1264
222,2008-10-01 00:00:00,614,1195
282,2008-11-01 00:00:00,687,1601
100,2008-12-01 00:00:00,892,1326
325,2009-01-01 00:00:00,463,795
462,2009-02-01 00:00:00,530,1251
331,2009-03-01 00:00:00,534,1149
483,2009-04-01 00:00:00,787,1800
324,2009-05-01 00:00:00,711,1556
267,2009-06-01 00:00:00,815,1807
293,2009-07-01 00:00:00,677,1642
280,2009-08-01 00:00:00,1010,2385
72,2009-09-01 00:00:00,567,1057
221,2009-10-01 00:00:00,789,2369
261,2009-11-01 00:00:00,486,1102
99,2009-12-01 00:00:00,696,2253
356,2010-01-01 00:00:00,384,658
321,2010-02-01 00:00:00,722,1344
139,2010-03-01 00:00:00,548,1404
366,2010-04-01 00:00:00,616,1374
359,2010-05-01 00:00:00,784,1888
340,2010-06-01 00:00:00,468,1025
461,2010-07-01 00:00:00,948,2113
456,2010-08-01 00:00:00,734,1504
218,2010-09-01 00:00:00,654,1597
362,2010-10-01 00:00:00,475,822
133,2010-11-01 00:00:00,559,896
248,2010-12-01 00:00:00,594,1129
355,2011-01-01 00:00:00,709,1387
263,2011-02-01 00:00:00,477,886
138,2011-03-01 00:00:00,706,1212
367,2011-04-01 00:00:00,559,1114
394,2011-05-01 00:00:00,743,1112
342,2011-06-01 00:00:00,708,1085
460,2011-07-01 00:00:00,614,1079
457,2011-08-01 00:00:00,678,1290
217,2011-09-01 00:00:00,666,1413
363,2011-10-01 00:00:00,547,937
132,2011-11-01 00:00:00,736,1316
249,2011-12-01 00:00:00,668,1601
358,2012-01-01 00:00:00,1460,2314
395,2012-02-01 00:00:00,979,1736
137,2012-03-01 00:00:00,1053,2161
364,2012-04-01 00:00:00,1057,1746
406,2012-05-01 00:00:00,1257,3054
344,2012-06-01 00:00:00,1384,2841
459,2012-07-01 00:00:00,1279,2055
454,2012-08-01 00:00:00,1385,1872
220,2012-09-01 00:00:00,1112,2203
360,2012-10-01 00:00:00,1098,1896
135,2012-11-01 00:00:00,1029,2104
250,2012-12-01 00:00:00,765,1197
357,2013-01-01 00:00:00,1377,2516
98,2013-02-01 00:00:00,1168,2039
136,2013-03-01 00:00:00,1326,2321
365,2013-04-01 00:00:00,1242,2830
403,2013-05-01 00:00:00,1819,4097
247,2013-06-01 00:00:00,1651,2626
458,2013-07-01 00:00:00,1962,3545
455,2013-08-01 00:00:00,2026,3973
219,2013-09-01 00:00:00,2073,3567
361,2013-10-01 00:00:00,1734,3079
134,2013-11-01 00:00:00,1536,3393
251,2013-12-01 00:00:00,1844,3368
